,Target
153196,0
249730,0
71126,0
61972,0
43934,0
189016,0
80968,0
211883,0
103749,0
255727,0
197847,0
13166,0
50434,1
232974,0
112537,0
15179,0
6920,0
81363,0
33331,0
221124,0
203895,0
268833,1
172768,0
304685,0
306977,0
81986,0
227712,0
132745,0
194891,0
273585,0
32472,0
182037,0
130929,0
168690,0
185565,1
27766,0
176130,0
269535,0
103630,0
157446,0
138363,0
105645,0
173141,0
75750,0
61713,0
127669,0
161073,0
51024,0
199174,0
82409,0
123813,0
217062,0
28365,1
148369,0
217294,0
12063,0
36303,0
75426,0
72429,0
39305,0
148907,0
302586,0
134710,0
216343,0
29311,0
259582,0
11683,0
237279,0
248828,0
214926,0
218838,0
263158,0
190329,0
165831,0
67998,0
274856,1
220617,0
296869,0
27307,0
87763,0
225731,0
210205,0
26308,0
105652,0
27068,0
127547,0
306262,0
291852,0
185766,0
124633,0
116148,0
157838,0
275639,0
115546,0
74923,0
186023,0
214304,0
296401,0
72631,0
241532,0
229270,0
82698,0
188296,0
100168,0
255578,0
248522,0
142771,0
118849,0
251161,1
216387,0
214058,0
280293,0
169025,1
20674,1
165296,0
169592,0
10387,0
186642,0
56463,0
11677,0
23030,0
105059,0
178608,1
246262,0
83426,0
161813,0
37942,0
173851,0
176792,0
193431,0
132997,0
42848,0
307072,0
261907,0
20421,0
74516,1
266353,0
80054,0
154486,0
16629,0
193467,0
110194,0
131818,0
183569,0
262866,0
173716,0
278391,0
69651,0
230475,1
204689,0
290252,1
4575,0
18739,0
19906,0
57313,0
211408,0
163530,0
35812,0
59689,0
77789,0
112164,0
86422,0
239420,0
62605,0
222266,0
5864,0
35860,0
143195,0
226514,0
124141,0
260681,0
217569,0
143356,0
12525,0
207631,0
267062,0
193221,0
56845,0
50947,0
304998,0
194126,0
126980,1
225987,0
192885,0
71522,0
112699,0
196583,0
107303,0
221515,0
114405,0
73698,0
262041,0
263461,0
70892,0
12317,1
278572,0
125156,0
298979,0
209343,0
1779,0
206503,0
214768,0
61761,0
55118,0
87546,0
15246,0
190453,0
181677,0
23776,1
127417,0
191540,0
230944,0
98886,0
104905,1
189858,0
61403,0
253642,0
124968,1
975,0
14820,0
133888,0
125135,0
237054,0
23703,0
222637,0
238843,0
226843,0
170958,1
9272,0
159745,0
92403,0
151941,0
56677,0
271254,0
184302,0
95428,0
119451,0
210173,0
250217,0
216251,0
276097,0
296181,0
127980,0
103094,0
307136,0
19380,0
220862,1
169492,0
81733,0
26281,0
48845,0
283011,1
89348,0
87336,1
192917,0
20484,0
122111,1
34397,0
86365,0
78149,0
94246,0
46808,1
132151,0
74542,0
282572,0
147106,0
259008,0
4900,0
289747,0
200088,0
176700,0
280983,0
3791,0
42192,0
140911,1
15454,0
155987,0
210304,0
277094,0
209137,0
56802,0
36647,0
206872,0
142852,0
169691,0
41673,0
190819,0
164806,0
125280,0
174586,0
253375,0
230215,0
151291,0
146603,1
32268,0
104742,0
63024,0
225782,1
42122,0
81505,0
279179,0
135892,0
278816,0
27300,0
164010,0
234907,0
228772,0
245602,0
208344,0
197712,0
275843,0
83642,0
307450,0
282366,0
26435,0
202303,0
110697,0
166493,0
91037,0
73124,0
157607,0
51525,0
23980,0
269115,1
20449,0
265808,0
205237,0
262494,0
259808,0
44290,0
164365,0
265434,0
276008,0
74960,0
20127,0
150997,0
277337,0
153194,0
43660,0
116494,0
162061,0
91354,0
96192,0
76663,0
178233,0
221275,0
113575,0
88281,0
104912,1
282143,0
159029,0
151871,0
87343,0
55009,0
18861,0
195394,0
195691,0
167851,0
238723,0
64722,0
67609,0
249431,0
54653,0
148582,0
76188,0
164477,0
8134,0
17651,0
11881,0
131712,0
200460,0
231121,0
48060,0
262834,0
195786,0
234469,0
281954,0
238512,0
168956,0
46471,0
2945,0
216329,1
161550,1
132256,0
295297,0
107330,0
1957,0
300649,0
86837,0
292523,0
284363,0
289953,0
278803,0
255589,0
4358,0
57245,1
9386,0
288040,0
242267,0
211424,0
275261,0
17104,0
102144,0
19845,0
205294,0
83653,0
75767,0
83624,0
140368,0
262049,1
141121,1
13042,0
289220,0
148019,0
161776,0
34527,0
188417,0
154552,0
174945,0
51107,1
132204,0
190523,0
55659,0
83722,0
233048,0
276472,0
58051,0
256887,0
132678,0
24208,0
178355,0
189781,0
214985,0
163927,0
233760,0
170616,0
212725,0
12206,0
247806,0
47710,0
84172,1
168330,0
146586,1
26386,1
43096,0
140166,0
247527,0
221737,1
283067,0
184022,1
176065,1
40501,0
117975,0
13711,1
206516,0
227921,0
140614,0
28206,0
196204,0
34662,0
16381,0
187940,0
192512,0
295156,0
237854,1
58393,0
240311,0
88012,0
81087,0
36366,0
144739,0
182049,0
299026,0
189810,0
142854,0
131412,0
256933,0
285902,0
54020,0
167391,0
199071,0
241900,0
251328,0
195150,0
92853,0
297413,0
242033,0
211910,0
197149,0
55177,1
24787,0
129672,0
99241,0
99712,0
267847,0
267547,0
145253,0
110666,0
45683,1
52883,0
279007,0
261832,0
210140,0
11222,0
161144,0
124222,1
16972,0
64591,0
92182,0
19957,0
12819,0
278388,0
248312,0
265379,0
116199,1
126468,0
203894,0
204945,0
208331,0
225200,0
44976,0
226459,0
218469,0
147871,0
286430,0
200915,0
68644,0
230865,0
260272,0
41356,1
124072,0
243985,0
22427,0
215341,0
71661,0
51865,0
134588,0
186825,1
305539,0
9121,0
115297,0
4645,0
133068,1
39257,0
47178,0
220720,0
39702,0
254448,1
87822,0
282290,0
79784,0
136739,0
292421,0
299065,0
133216,0
188482,0
254943,1
203007,0
233414,0
85100,0
301181,0
147658,0
145857,0
130711,0
11902,0
35746,0
175184,0
108162,1
234361,0
43367,0
13540,0
235870,0
252659,0
208195,0
180400,0
127717,0
113020,0
5092,0
292951,0
131911,0
293147,0
303889,0
224503,0
59432,0
260009,0
57230,0
181166,0
38768,0
17406,0
48183,0
37551,0
137345,0
253609,0
306569,0
286254,0
83164,0
103715,0
256227,0
84140,0
85903,0
183747,0
79742,0
20366,0
169744,0
39648,0
140075,0
201637,0
82994,0
5064,0
258240,0
184696,0
186032,0
153816,0
220686,0
156111,0
28194,0
132769,0
277037,1
94012,0
158411,0
39028,0
304363,0
208683,0
121048,0
66974,1
259366,1
169868,0
180335,0
22976,0
87628,0
50492,0
169469,0
39139,1
234908,1
96871,1
42474,0
303062,0
169526,0
173197,0
302475,0
279922,0
224782,0
277119,0
183974,1
138085,1
212200,0
194172,0
183671,0
27521,0
137837,0
61863,0
180836,0
235101,0
207189,0
51105,0
37032,0
49978,0
132434,0
223069,0
191793,0
224723,0
258403,0
68787,0
48497,0
229578,0
211477,0
2038,0
142670,0
101306,0
220049,0
60040,0
304883,0
53868,0
254371,0
134541,0
172196,0
207589,1
287765,0
112463,0
177434,0
1814,0
64433,0
22887,0
255432,0
95322,0
277968,0
164724,0
220104,1
136028,0
90087,0
187919,0
124027,0
268437,0
96515,0
156365,0
258858,0
238064,0
270158,0
217053,0
166749,0
184047,0
91286,0
166096,0
69538,0
175188,0
153489,0
253821,0
42429,0
170286,0
93725,0
162812,0
107851,0
118946,1
211563,1
110201,1
304619,0
177642,0
143188,0
110642,0
70906,0
160240,0
105117,0
239910,0
241258,0
98887,0
225316,0
200271,0
79379,0
116959,1
210338,0
302173,0
57200,0
157976,0
219189,0
198044,0
8743,0
146745,0
234535,0
230497,0
97834,0
144287,0
222675,1
129130,0
207025,0
124464,0
141954,0
37083,0
286886,0
38459,0
156865,0
34341,0
285920,1
81260,0
226685,0
201207,0
120234,1
38331,0
38999,0
288205,0
58687,0
79901,0
30582,0
216040,0
286865,0
5618,0
26054,0
245061,0
72575,0
136354,0
156137,0
102123,0
233041,0
39896,0
13888,0
118099,0
195474,0
268829,0
105691,0
170063,0
241883,0
117515,0
15043,0
65430,0
165198,0
22322,0
263047,0
75295,0
267032,0
51510,0
121473,0
7628,0
78522,0
173846,0
302419,0
295360,0
51242,0
62454,0
156910,0
98678,0
145486,0
81851,0
254948,0
275864,0
234893,0
244428,0
31248,0
182284,0
285772,0
160690,0
283129,0
269122,0
135585,0
153677,0
131210,0
148367,0
136772,0
161318,0
18347,0
242218,0
21285,1
245346,0
91233,0
277803,0
175540,0
232085,0
23334,0
133336,0
290603,0
241540,0
77002,0
253328,0
11714,0
237975,0
167120,0
302063,0
129608,0
279408,0
4162,0
62028,0
62954,0
81676,0
163085,0
182187,0
45868,0
109643,1
114120,0
281271,0
27913,0
19144,0
157429,0
196097,0
238120,0
96613,0
179466,0
90208,0
270308,1
193189,0
5103,0
80165,0
36603,0
295408,1
293561,0
121712,0
9787,0
223128,0
11795,0
144133,0
270806,0
103813,0
3750,0
140861,0
86742,0
69283,1
6318,0
108269,0
28525,0
210382,0
243695,0
135489,0
302820,0
64037,0
37497,0
248304,0
58613,0
301113,1
248727,0
197763,0
91755,0
305164,0
275444,1
170937,0
275336,0
119159,0
106494,0
41256,0
155837,0
264036,0
275088,0
91509,0
90577,0
102390,0
126230,0
118917,0
165639,0
222098,0
274235,0
114229,0
236087,0
297552,0
191828,0
74909,0
246464,0
81075,0
213730,0
93705,0
29273,0
159351,0
78608,0
206210,0
20045,0
45110,0
229791,0
206373,0
273779,0
17218,0
281436,0
282889,0
27662,0
67900,0
105173,0
97361,0
195929,0
121351,0
249520,0
195191,0
12166,0
134204,0
159950,0
54612,0
98602,1
206114,0
76179,0
135111,0
361,0
38021,0
282015,0
19325,0
249093,0
301022,0
259761,0
32553,0
134511,0
126577,0
3754,0
47023,0
224773,0
171864,0
20687,0
120091,0
48458,0
20157,0
266227,1
17206,0
11497,0
44526,0
228309,0
211978,0
232677,0
76906,0
132446,0
13317,0
265650,0
4897,0
175320,0
151994,0
61280,0
93465,0
236428,1
123797,1
227368,0
233316,0
118252,0
104492,0
117672,0
144464,0
66755,0
212375,0
193784,0
48433,0
184857,0
49965,0
104887,0
227066,0
249463,0
20238,0
78740,0
268542,0
94494,0
177064,0
70873,0
1253,0
16807,0
25257,0
28917,0
58533,0
19804,0
159348,0
50692,0
161532,0
210795,0
190146,0
104646,0
64559,0
202244,0
302146,0
232027,0
298256,0
230562,0
127309,0
233479,0
131817,0
3462,0
19143,0
41788,0
281209,0
51787,0
52158,0
277093,0
109156,0
150126,0
146995,1
290125,0
27287,1
120343,0
140119,0
280422,0
216905,0
252738,0
278010,0
96901,1
234674,0
285606,0
236623,0
170246,0
227780,0
13494,0
236385,0
260891,0
98463,0
270480,1
124765,0
146047,0
276044,0
197269,0
70685,0
239135,0
11032,0
281843,0
241705,0
19426,0
120273,0
201704,0
183126,0
222201,0
11180,1
149302,0
190207,0
307274,0
177149,0
68776,0
280302,0
209574,0
189311,0
116458,0
19952,0
255108,0
58739,0
147759,0
7501,0
265669,0
160982,0
117394,0
186282,0
258597,0
762,0
104700,0
133698,0
75997,0
126303,0
49697,0
206148,0
12556,0
66502,0
239887,0
2003,0
300044,0
153236,0
99984,0
190680,0
194951,0
139243,0
225220,0
118487,0
63545,0
10492,1
259266,0
48241,0
243204,0
187586,0
289681,0
35985,0
10675,0
285838,0
28021,0
273686,0
248543,0
77879,0
271356,0
89004,0
80934,0
203615,1
180730,0
259770,0
162033,0
288924,0
229444,0
181682,0
116612,0
233092,0
161763,0
182501,0
191016,0
189170,0
283804,0
139200,0
258182,0
8527,0
84053,0
211537,0
162255,0
189359,1
125033,0
183888,0
268476,0
148156,0
217693,0
163738,0
294886,0
269468,0
134953,0
3424,0
271688,0
38431,0
125648,0
304173,0
141846,0
152956,0
118258,0
3696,0
245938,0
245742,0
235003,0
20754,1
303229,0
205043,0
165946,0
96717,0
157086,0
162949,0
67319,0
142650,0
30217,0
275878,0
205057,0
80336,0
151902,0
54785,0
276779,1
144171,0
11968,0
127299,1
303207,0
250471,0
174882,0
55963,0
22939,0
91403,0
147982,0
258407,0
30039,0
271262,0
271892,0
132584,0
209237,0
48234,0
84704,0
39792,0
61045,0
287988,0
249170,0
282966,0
191247,0
21171,0
262935,0
123877,0
209622,0
192807,1
287341,0
221942,0
123992,0
167883,0
245928,0
199235,0
199401,0
192271,0
233567,0
228624,0
196780,0
107811,1
272924,0
159454,0
115281,0
175980,0
230335,0
231459,0
271916,0
300117,1
132217,1
235509,0
290938,0
68661,0
279310,0
177087,0
202572,0
188290,0
302161,0
81426,0
130082,0
213389,0
292579,0
161663,1
207860,1
266771,0
95194,0
126141,0
75569,1
306175,0
39420,0
300482,0
73511,0
233261,0
5666,0
86218,0
224385,0
228653,0
293859,0
157272,0
76893,0
198539,1
161982,0
299775,0
82956,0
99022,0
27790,0
158610,0
263643,0
34356,1
243573,0
118808,0
216451,0
110048,1
254264,0
174225,0
217228,0
299290,0
72761,0
200667,1
222256,0
213986,1
88504,0
240286,0
303141,1
110945,0
64598,0
261233,0
79216,0
259497,0
63689,0
113938,0
18381,0
111140,0
97473,0
10355,0
76821,0
15030,0
118422,0
135493,0
91132,0
138936,0
198300,0
194316,0
29912,0
142236,0
43594,0
295994,0
186597,0
234161,0
159119,1
129494,0
125416,1
207793,1
87576,0
96352,0
221956,1
139486,0
232805,1
156609,0
74187,0
84077,0
194002,0
90938,0
163172,0
7408,0
135620,1
115317,0
212631,0
29366,0
161977,0
171784,0
247106,1
23795,0
183358,0
139576,0
153944,0
188939,0
186639,0
185974,0
38905,0
46649,0
294103,0
118420,0
80347,0
180735,1
198374,0
204352,0
200869,0
186373,0
168919,0
74914,1
241823,0
206184,0
110603,1
157949,0
96089,0
118364,0
58610,0
26842,0
147178,0
191190,0
253133,0
39137,0
135832,0
79972,1
35354,0
301514,1
38136,0
193807,0
276532,0
76031,0
162723,0
66491,0
172096,0
295315,0
264307,0
117441,0
86583,0
47644,0
86282,1
263760,0
15126,1
152935,0
96908,0
59675,0
305943,0
70005,0
172524,0
233735,1
130076,0
133176,0
210199,0
3504,0
42107,0
161724,0
212602,0
272416,0
31656,0
277285,0
202250,0
155818,0
245184,0
113375,0
266946,0
205029,0
113255,0
278147,0
291997,0
20971,0
71935,0
98124,0
273538,0
152487,0
119823,0
271103,0
287463,0
156264,0
207330,0
215262,0
74037,1
293222,1
80258,0
222129,0
295032,0
136347,0
293804,0
106678,0
127676,1
166354,0
41708,0
170752,0
215273,0
233860,0
103610,1
1195,0
188627,0
300024,0
81903,0
257925,0
304611,0
274979,0
115110,0
75485,0
264046,1
227828,0
249797,0
252056,0
39705,0
119641,0
20576,0
272214,0
76098,0
243361,0
169936,0
211387,1
168082,0
265395,0
962,0
195390,0
41963,0
126626,0
8477,0
66945,0
124767,1
226116,0
202866,0
50281,0
75861,0
135889,0
274574,0
7727,0
127780,0
180665,0
154947,0
160559,0
103431,0
29453,0
82619,0
238975,0
162900,0
141853,0
122247,0
56406,0
271889,0
58300,0
68187,0
114054,0
291016,0
115774,0
162343,0
234779,0
242633,1
63301,0
21927,0
162327,0
18373,0
214246,0
100303,0
200219,0
153291,0
11514,0
207027,0
69608,0
39097,0
148970,0
835,0
19132,0
151790,0
125487,0
44507,0
227106,0
135314,0
71296,0
122382,0
166018,0
157132,0
9075,1
279938,0
87329,0
208523,0
249312,0
302279,0
190583,0
227681,0
93531,1
60056,0
282456,0
137809,0
54756,0
128581,0
84004,1
281682,0
48067,0
258207,1
184674,1
52095,0
57502,0
165240,0
140097,0
210821,0
288909,0
104751,0
86814,0
307056,0
13094,0
171574,0
117511,0
250374,0
183147,1
193532,0
273652,0
275815,0
77158,0
109680,0
64682,0
49914,0
185123,0
292676,0
265102,0
179800,0
130832,0
262907,0
93074,0
55355,0
266704,0
49398,1
249925,0
232018,0
56599,0
145856,0
179904,0
204297,0
189617,0
173402,0
292948,0
226003,0
224072,0
28506,0
305564,0
59539,1
218806,0
137635,0
67816,0
110128,0
100449,0
294904,0
148242,0
297246,0
20549,0
7916,0
11775,0
131597,0
138824,0
162664,0
212907,0
267051,0
24952,0
151602,0
286913,0
236344,0
188918,1
243785,0
176959,0
259146,0
87028,0
150040,0
288591,0
6423,0
280803,0
292098,0
115391,0
117774,0
31816,0
171795,0
261490,0
74163,0
186571,0
236862,0
180097,1
297255,0
39282,0
248906,0
76328,0
218743,0
173503,0
298555,1
161992,0
7992,0
59191,0
171100,0
77199,0
260055,0
13916,0
33661,0
270753,0
57252,0
96743,0
188842,0
283295,0
226842,0
120959,0
50435,0
53313,0
94575,0
65704,1
44047,0
158727,0
248321,0
59443,0
140049,0
210729,0
26845,0
34492,0
294333,1
74833,0
83955,0
155869,0
89902,0
283085,0
447,0
233124,0
8105,0
283739,0
238122,0
198660,0
70747,0
162676,0
179006,0
186179,0
84719,0
1807,0
35625,0
230180,0
284048,0
295545,0
247454,0
28090,0
223184,0
141019,0
204802,0
89347,0
78243,0
144161,0
284682,0
100083,0
56629,0
138791,0
294232,0
34968,0
154369,1
218430,0
231699,0
52017,0
289774,0
262127,0
40829,1
147195,0
22685,0
69778,0
288900,0
13065,0
276364,0
304779,0
282561,0
190565,0
43351,0
126753,0
9110,0
253411,0
285870,0
44098,0
285629,0
231167,0
93426,0
136208,1
200415,0
69514,0
30074,0
94347,0
33741,0
275744,0
19632,0
31578,0
302111,0
117735,0
258178,0
112436,0
214112,1
245538,0
205607,0
250945,0
59553,0
8476,0
144817,0
217556,0
121431,0
155386,0
55613,0
21786,0
238531,0
273134,0
107917,0
271753,0
188919,0
75841,0
199016,0
101172,0
123340,0
215251,0
210326,0
179026,0
303749,0
298326,1
95242,0
239856,0
304626,0
250213,0
292618,0
11894,0
25611,0
167819,0
149527,0
269450,0
123826,0
87314,0
77624,0
163425,0
22384,0
54577,0
300233,0
104402,0
100076,0
83912,0
273614,0
39178,0
56078,0
281608,0
5357,0
262434,1
2413,0
249216,0
257608,0
226450,0
12832,0
120765,0
279405,0
78145,0
138674,1
290496,0
115852,0
113241,0
185142,0
220221,0
121370,0
203770,0
262223,0
131554,0
25419,1
244436,0
19476,0
78080,0
157866,0
70527,0
2484,0
209987,0
270490,0
248341,0
98654,0
240821,0
27311,0
207560,1
195920,0
142841,0
151109,0
206625,0
199895,0
50879,0
307151,0
35556,0
166473,0
74702,0
187274,0
288052,0
110717,0
62635,0
37650,0
250789,0
189552,0
256034,0
278245,0
243875,0
85828,0
108458,0
87011,0
153294,0
228700,0
160235,0
220866,0
252959,0
113523,0
250222,0
254875,0
193109,0
17721,0
162036,0
83600,0
15808,0
145569,0
103059,0
137282,0
154037,0
70098,0
80778,0
229594,0
37936,0
81331,0
51198,0
209809,0
64216,1
171355,1
116689,0
260502,0
93351,0
59044,0
14769,1
108640,0
302973,0
256045,0
209396,0
284843,1
241764,0
249125,0
141859,0
71375,0
123843,0
95596,0
90730,0
154769,0
67595,0
244462,0
44656,0
226777,0
230415,1
156509,0
184830,0
225653,0
102160,0
307278,0
256652,0
15457,0
285184,0
235757,0
195909,0
251800,0
41017,0
217342,0
508,0
161292,0
117375,0
28406,0
76780,0
185085,0
5073,0
245535,0
140616,0
169422,1
110036,1
135971,0
291501,0
302125,0
104368,1
61599,1
111880,0
1342,0
30860,0
16669,0
227143,0
149013,0
134474,0
92339,0
41092,0
52506,0
198029,0
1620,0
102918,0
167145,1
10892,1
53808,1
267539,0
235505,0
95263,0
266905,0
105509,0
117126,0
152852,0
113051,0
31309,0
283691,0
195977,0
302358,0
61711,0
230872,0
72758,0
277184,0
305948,0
56301,0
187290,0
65424,0
95015,0
212116,0
202356,0
16508,0
82665,0
255534,0
115039,0
167571,0
44825,0
169347,0
18196,0
177651,0
15529,0
237353,0
8920,1
166123,0
180926,0
98132,0
68480,0
166316,0
295172,0
178699,0
151854,1
261219,0
186011,0
34511,0
97791,0
19757,0
139393,0
303687,0
99613,0
26575,0
202953,0
123256,0
284533,0
208135,1
199510,0
89721,0
260691,1
87277,0
168656,0
35346,0
198681,0
83475,1
251983,0
302039,0
197696,0
120785,0
253791,0
98482,0
274512,0
103795,0
247442,0
212986,1
62745,1
262880,0
250540,1
1500,0
226760,0
114934,0
29008,0
65400,0
88784,0
181381,0
3528,0
119184,0
56728,0
90928,1
217882,0
190311,0
128957,0
248852,0
250307,0
28769,0
55430,0
126834,0
161893,0
226961,0
82429,0
198450,1
224382,0
290005,0
290483,0
229758,0
93495,0
278915,0
84207,0
27581,0
286877,0
183102,0
208477,1
106734,0
224550,0
194494,0
250625,0
63973,0
134665,0
163942,0
288592,0
226829,0
211484,1
123775,0
149035,0
261090,0
23424,0
47331,0
164871,0
41174,0
152268,0
234315,0
121000,0
188537,0
118300,0
39269,0
135616,0
38389,0
191589,0
306963,0
265792,0
23299,0
96313,0
224085,0
44139,0
67873,1
134857,0
158638,1
242307,0
110968,0
45899,0
144293,0
49913,0
134816,0
129562,1
58050,0
126082,0
227853,0
79526,0
246452,0
295718,0
41496,0
280765,0
4350,0
265365,0
10634,0
33305,0
221601,0
119301,0
149882,0
193685,0
239391,0
36878,0
39176,0
233363,0
175193,0
180838,0
289288,0
42796,0
270049,0
274136,0
105202,0
22027,0
224640,0
70377,0
66251,0
154209,0
39000,0
93389,0
120761,1
51078,0
130137,0
101237,0
271853,0
56380,0
113388,0
130866,1
113830,0
41782,0
30609,1
299623,0
122320,1
76826,1
90497,0
91927,0
88328,0
295129,0
18935,0
130844,0
139366,0
277787,0
169631,0
160561,0
303608,0
173961,0
294879,1
287474,1
243340,1
18269,0
131271,1
57216,1
127462,0
10120,0
21989,0
233762,0
29853,0
139805,0
165384,0
147794,0
100583,0
182892,0
6448,0
175483,0
273059,0
255307,0
37073,0
212054,1
79015,0
210436,0
142155,0
128981,0
234734,0
152769,0
102238,0
199022,0
226680,0
50775,0
251158,0
20993,0
210354,0
216441,0
76019,0
53892,0
12010,0
62660,0
211041,0
175,0
175056,0
54294,0
246530,0
263847,0
81821,1
116500,0
301121,0
118602,1
123960,0
39795,0
136338,0
257859,0
111,0
108749,0
287148,0
27693,0
59556,0
278515,1
37429,0
297510,0
289515,0
108341,0
55880,0
82384,1
13342,0
198830,0
26682,0
153120,0
77734,0
265850,0
232049,0
107498,0
213743,0
245480,0
286384,0
127480,0
282998,0
